"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030832","regulation of actin filament length","15/744","166/28832",0.0903614457831325,3.50174893120871,5.26102216207333,2.83528896813974e-05,0.000271822590089458,0.000152165029948808,"Capg/Carmil1/Ccl11/Ccl24/Cdc42ep2/Cotl1/Kank2/Plekhh2/Ppp1r9a/Pycard/Scin/Sptan1/Sptbn1/Ssh2/Tmod1",15
"GO:0033047","regulation of mitotic sister chromatid segregation","9/744","62/28832",0.145161290322581,5.62539021852237,5.93376310705925,2.88821977998791e-05,0.000275852236345261,0.000154420807303425,"Cdk1/Knl1/Kntc1/Numa1/Ska1/Spc24/Spc25/Spdl1/Trip13",9
"GO:1900015","regulation of cytokine production involved in inflammatory response","9/744","62/28832",0.145161290322581,5.62539021852237,5.93376310705925,2.88821977998791e-05,0.000275852236345261,0.000154420807303425,"Clec7a/Il6/Lilrb4a/Per1/Ppara/Pycard/Tarm1/Tlr4/Trem2",9
"GO:0006090","pyruvate metabolic process","14/744","147/28832",0.0952380952380952,3.69073220686124,5.32301426389419,2.90127402581527e-05,0.000276577196208605,0.000154826636485176,"Eno1/Eno1b/Fbp1/Gale/Gapdh/Hk3/Ifng/Igf1/Ldhc/Me1/Pdk4/Pgk1/Ppara/Slc16a1",14
"GO:0071356","cellular response to tumor necrosis factor","17/744","207/28832",0.0821256038647343,3.18258791751078,5.12908722045458,2.94337395093602e-05,0.000280063137963123,0.000156778050572216,"Akap12/Ccl2/Cldn1/Col1a1/Ctsk/Dcstamp/Foxo3/Has2/Il6/Nr1d1/Ocstamp/Pycard/Rora/Tnfrsf11b/Tnfrsf4/Tnfsf11/Tnfsf13b",17
"GO:0009205","purine ribonucleoside triphosphate metabolic process","20/744","272/28832",0.0735294117647059,2.8494623655914,4.98777393557989,3.0203585579932e-05,0.000286849062299467,0.000160576779660664,"Ak2/Eno1/Eno1b/Fbp1/Fignl1/Gale/Gapdh/Hk3/Ifng/Igf1/Il4/Itpa/Ldhc/Myh7/Nme1/Nme2/Nme7/Pgk1/Ppara/Trem2",20
"GO:0045582","positive regulation of T cell differentiation","13/744","129/28832",0.10077519379845,3.90530966074852,5.38244437716924,3.06211159520961e-05,0.000290269829493466,0.00016249170932987,"Adam8/Brd4/Ccr2/Foxo3/H2-Aa/Ifng/Il4/Il6/Lilrb4a/Malt1/Smarca2/Socs1/Zfp609",13
"GO:0030278","regulation of ossification","14/744","148/28832",0.0945945945945946,3.66579482708515,5.29168074006155,3.12963128085917e-05,0.000296115767172133,0.000165764238230652,"Acvr2b/Adrb2/Bmp6/Ccr1/Egr2/Fam20c/Fgf23/Gja1/Mgp/Notch1/P2ry2/Ptger4/S1pr1/Scube2",14
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","10/744","78/28832",0.128205128205128,4.96829335539013,5.71160084995807,3.18845692616117e-05,0.000301118823884848,0.000168564926261309,"Bcl2a1a/Bcl2a1b/Bcl2a1d/Foxo3/Igf1/Il1a/Il4/Inhba/Lcn2/Ret",10
"GO:0002313","mature B cell differentiation involved in immune response","7/744","36/28832",0.194444444444444,7.5352449223417,6.38561820920917,3.22037346485795e-05,0.000303002425262286,0.000169619357609032,"Bcl3/Il10/Il21/Il6/Lgals1/Lilrb4a/Spi1",7
"GO:0090322","regulation of superoxide metabolic process","7/744","36/28832",0.194444444444444,7.5352449223417,6.38561820920917,3.22037346485795e-05,0.000303002425262286,0.000169619357609032,"Acp5/Clec7a/Cxcl1/Cyba/Itgam/Mapt/Tyrobp",7
"GO:0045471","response to ethanol","15/744","168/28832",0.0892857142857143,3.46006144393241,5.20460902308114,3.26222392495686e-05,0.000306370640225077,0.00017150486878203,"Aldh2/Ccl2/Ccl7/Cd14/Cdk1/Cldn1/Ctsk/Gria1/Igf1/Ppara/Tbxas1/Tjp1/Tlr4/Tnc/Tyms",15
