"gene_id","Control72h1","Control72h2","Control72h3","OVA72h1","OVA72h2","OVA72h3","OVA72h4"
"Tas2r104",0,0,0,0,0,0,0
"Tas2r105",0,0,0,0,0,0,0
"Tas2r106",0,0,0,0,0,0,0
"Tas2r107",0,0,0,0,0,0,0
"Tas2r108",0,0,0.043078844,0,0,0.09174385,0.005873455
"Tas2r109",0,0,0,0,0,0,0
"Tas2r110",0,0,0,0,0,0,0
"Tas2r113",0,0,0,0,0,0,0
"Tas2r114",0,0,0,0,0,0,0
"Tas2r115",0,0,0,0,0,0,0
"Tas2r116",0,0,0,0,0,0,0
"Tas2r117",0,0,0,0,0,0,0
"Tas2r118",0,0,0,0,0,0,0
"Tas2r119",0,0,0,0,0,0,0
"Tas2r120",0,0,0,0,0,0,0
"Tas2r121",0,0,0,0,0,0,0
"Tas2r122",0,0,0,0,0,0,0
"Tas2r123",0,0,0,0,0,0,0
"Tas2r124",0,0,0,0,0,0,0
"Tas2r125",0,0,0,0,0,0,0
"Tas2r126",0,0.049100396,0,0,0,0,0
"Tas2r129",0,0,0,0,0,0,0
"Tas2r130",0,0,0,0,0,0,0
"Tas2r131",0,0,0,0,0,0,0
"Tas2r134",0,0,0,0,0,0,0
"Tas2r135",0.066942257,0,0.100373377,0.079880102,0,0.01950703,0.041438701
"Tas2r136",0,0,0,0,0,0,0
"Tas2r137",0,0,0,0,0,0,0
"Tas2r138",0,0,0,0,0,0,0
"Tas2r139",0,0,0,0,0,0,0
"Tas2r140",0,0,0,0,0,0,0
"Tas2r143",0.010616658,0,0.041864376,0,0,0,0.019321832
"Tas2r144",0,0,0,0,0,0,0
"Tasor",30.6939504,38.61462065,36.11872343,19.3581546,22.66017377,25.40173381,22.91701066
"Tasor2",20.91378221,27.95460013,23.99718844,13.93422918,18.92893672,21.15532303,21.70841233
"Tasp1",3.002153501,3.475472173,2.403454158,4.00152016,3.190983604,4.342082003,3.93845845
"Tat",0.164932174,0.489952988,0.184939553,0.014262722,0.189610517,0.150012383,0.074733978
"Tatdn1",6.076122898,6.842776904,5.347627658,9.381260629,8.33903669,9.668387254,9.10413462
"Tatdn2",12.56880612,13.27986657,12.78664099,12.87035061,12.45379159,11.7576042,13.98096449
"Tatdn3",4.374983638,4.685446411,3.698240323,4.663571536,3.586094757,4.918599574,4.877733766
"Tax1bp1",184.5264347,185.8296335,184.2215099,156.8842196,181.7809271,183.5465313,166.4557059
"Tax1bp3",47.03672382,36.06689119,38.05617638,42.1708628,45.48385153,39.6212119,44.21320248
"Taz",8.082086574,9.628607929,8.850734456,7.906404291,8.38251793,9.00964641,7.728607648
"Tbata",0.92319178,0.987878803,0.604653685,0.601598881,0.638665028,0.854351937,0.588170175
"Tbc1d1",8.908446946,9.193166536,12.08207786,10.77699164,9.823644812,8.87220083,9.136773427
"Tbc1d10a",23.67368713,23.19365898,23.52641332,15.06947425,18.13203064,20.15248056,21.04973193
"Tbc1d10b",10.64609999,10.13737146,12.06301833,10.66691111,9.150906665,10.05378514,11.00253234
"Tbc1d10c",2.103835906,6.734426885,2.432794831,7.32056472,6.121917747,5.874376162,4.950129765
"Tbc1d12",6.109608846,5.656879077,6.501955457,3.96097607,4.832426798,5.296660671,4.55506766
"Tbc1d13",11.04986759,9.424652583,10.65738308,11.50112039,11.36556765,11.83559597,12.36369983
"Tbc1d14",7.768258203,8.387472205,3.307737862,8.635065221,9.00655057,8.523370099,9.710888361
"Tbc1d15",33.04782283,34.15649949,34.7353897,29.49122011,32.3530186,34.57401579,33.62088109
"Tbc1d16",15.38287611,16.71880365,18.59615236,16.46863495,16.77452313,17.07246747,18.59332883
"Tbc1d17",10.26483049,10.96583533,11.29831564,7.575024314,6.578262508,7.822093334,8.253570535
"Tbc1d19",9.135364993,9.70275461,9.035049532,8.90348766,7.752242043,7.683952227,9.021958241
"Tbc1d2",5.797012742,7.034322581,5.60151629,5.478852581,6.271125,7.044859839,8.706911613
"Tbc1d20",35.04198398,33.95422177,35.4352881,32.55431835,33.12786579,33.96273334,34.18697968
"Tbc1d21",0,0.027599013,0,0,0,0,0.005163005
"Tbc1d22a",11.7569791,10.59802514,11.67754923,11.27030131,10.00324219,10.31234609,11.50152119
"Tbc1d22b",2.570033624,2.964110432,2.811594958,2.478150487,2.352809151,2.432375167,2.567180307
"Tbc1d23",15.24761366,27.6770181,13.99262007,26.03552718,15.75019399,28.79420218,26.93741484
"Tbc1d24",1.481653395,1.826921943,2.144506701,1.224891068,1.232346912,1.022974212,1.512610459
"Tbc1d25",2.457780242,2.195541199,2.399933662,2.0170576,1.839843251,0.81093256,0.773491536
"Tbc1d2b",21.19645116,23.89437826,24.22998504,18.96798867,17.59678603,16.6673052,17.60342686
"Tbc1d30",8.13866379,7.749781862,8.664846995,3.849796056,3.433017928,4.867792178,4.713443547
"Tbc1d31",1.198680526,1.846669481,1.254370882,1.651529842,1.846107238,1.625490458,1.805479729
"Tbc1d32",2.975430151,3.660376678,3.008412861,1.792563814,2.674583591,2.373213301,2.447409985
"Tbc1d4",23.08016089,30.99099804,30.18004293,28.30684382,26.8089007,22.26404993,23.53811604
"Tbc1d5",5.678183627,5.892337886,6.259678767,4.841124788,5.081011471,4.35793587,4.783771989
"Tbc1d7",0.521066489,0.843757427,0.496958002,0.77917808,0.915391365,0.783314467,1.030333918
"Tbc1d8",10.20808182,13.65804986,12.94953695,7.101902992,3.954621265,6.248328244,6.055218729
"Tbc1d8b",7.943693987,9.027884506,7.800792753,7.306174626,7.487200712,8.260729621,8.364434664
"Tbc1d9",33.45940643,38.96975354,39.48938556,38.53742685,38.75867264,30.79370727,38.45845759
"Tbc1d9b",85.39058236,80.96765737,88.96816539,66.59126239,63.35264372,63.40327161,68.22099702
"Tbca",32.19477583,28.74913087,26.62319286,53.29143022,46.45093578,46.96440271,39.90901793
"Tbcb",15.02944881,13.67523869,13.98223559,19.88200255,16.28254888,16.66789748,18.127695
"Tbcc",2.873933721,2.871086833,3.024344903,3.122756817,3.408738509,2.8094111,2.913033418
"Tbccd1",8.484178143,10.03967958,10.13395756,10.74174762,9.707369206,8.995970207,10.80564581
"Tbcd",6.304133805,7.327552715,6.17710753,6.099011966,5.749441451,6.804597321,6.484210159
"Tbce",4.182338446,5.153469819,4.41329862,4.60865826,4.20316103,4.652954528,4.38827977
"Tbcel",24.42189863,28.33384743,8.029683685,15.75792794,15.70047879,16.90686799,17.19540759
